tool;query;likertAvg
best;3;3.8
worst;3;4.4
best;6;2.4
worst;6;4.6
best;9;4.8
worst;9;2.2
best;11;4.8
worst;11;4.4
best;15;4.2
worst;15;4.8
best;18;4.0
worst;18;4.8
best;23;3.0
worst;23;3.8
best;26;4.6
worst;26;2.8
best;28;3.0
worst;28;3.6
best;30;5.0
worst;30;3.0
