tool;query;likertAvg
best;2;4.2
worst;2;4.0
best;7;3.6
worst;7;3.8
best;10;5.0
worst;10;3.8
best;16;5.0
worst;16;4.0
best;19;5.0
worst;19;3.0
best;20;4.8
worst;20;4.6
best;21;5.0
worst;21;2.4
best;22;4.8
worst;22;4.6
best;24;4.4
worst;24;2.0
best;27;4.6
worst;27;3.6
