tool;query;likertAvg
best;1;4.2
worst;1;2.6
best;4;5.0
worst;4;2.4
best;5;3.6
worst;5;4.2
best;8;4.2
worst;8;2.2
best;12;4.4
worst;12;3.8
best;13;4.2
worst;13;3.2
best;14;4.4
worst;14;2.6
best;17;3.2
worst;17;2.6
best;25;4.8
worst;25;3.0
best;29;4.8
worst;29;3.6
